filename,eyelid_top,eyelid_top_rotate,eyelid_bottom,eyelid_bottom_rotate,iris_size,pupil_size,eye_look_x,eye_look_y,eyebrow_center_y,eyebrow_center_x,eyebrow_scale,eyebrow_rotate,eyebrow1,eyebrow2,eyebrow30,eyebrow4,eyebrow5,eyebrow6
happy_01.jpg,0,0,-0.641,0,0.658,0.5,-0.385,0.333,-0.031,-0.208,0.5,20,0,0.047,0.0282,-0.2,-0.2,0.1
happy_02.jpg,0,0,0,0,0.5,0.5,-0.162,-0.527,0.652,0.254,0.5,-25,0.2,0,0.0567,-0.15,-0.1291,0.1
happy_03.jpg,0,0,-0.863,0,0.313,0.5,-0.732,0.442,0.037,-0.299,0.5,20,0,0,0,-0.15,-0.1462,-0.1
happy_04.jpg,0,0,-0.818,0,0.689,0.5,-0.493,-0.618,0.1,0.282,0.5,19.1,0.1,0.0071,-0.0453,-0.22,-0.1,-0.1
happy_05.jpg,0,0,0,0,0.5,0.5,-0.698,-0.601,0.208,0.242,0.5,-1.5,0.043,0,0.014,-0.1385,-0.2,0.1
happy_06.jpg,0,0,0,0,0.618,0.5,-0.533,-0.687,0.145,0.066,0.5,4.7,0.1,-0.0818,0,-0.15,-0.1556,0.1
happy_07.jpg,0,0,0,0,0.5,0.5,0,0,0,0,0.5,20,0.0595,0,0,-0.15,-0.0359,-0.1
happy_08.jpg,0,0,-0.442,0,0.5,0.5,0,0,0,-0.134,0.5,19.2,0.0726,-0.0009,-0.014,-0.15,-0.0231,0.0333
happy_09.jpg,0.333,1,0,0,0.647,0.5,-0.157,-0.652,0.003,0,0.5,17.9,0.0681,0.0031,-0.0083,-0.1462,-0.1615,0.1
happy_010.jpg,0.43,0.624,0,0,0.5,0.5,-0.219,0.647,0,0,0.5,20,0.0595,0.0037,-0.006,-0.1248,-0.1547,0.1
angry_01.jpg,0.521,-1,0,0,0.313,0.274,-0.236,-0.726,0.316,0.191,0.5,-20,0.1,-0.1,0.1,-0.15,-0.1538,0.1
angry_02.jpg,0.43,-1,-0.504,-0.692,0.239,0.5,0,0,0.413,0.293,0.5,-30,0.1,-0.1,-0.1,-0.2,-0.1581,0.1
angry_03.jpg,0.538,1,-0.453,-0.481,0.587,0.422,-0.248,0.573,0.276,0.219,0.553,-25,0.1,-0.1,0,0.0009,-0.1598,0.1
angry_04.jpg,0.47,-1,0,0,0.274,0.5,0,0,-0.083,-0.128,0.5,25,0.1,-0.0766,0.1,-0.2,-0.1581,0.1
angry_05.jpg,0.692,1,-0.368,-0.989,0.154,0.16,0.105,-0.675,0.333,0.231,0.5,-30,0.0573,0,0,-0.15,-0.0085,-0.1
angry_06.jpg,0,0,-0.481,-1,0.342,0.5,-0.157,-0.761,0.385,0.231,0.5,-30,0.1,-0.1,-0.0675,-0.1632,-0.0051,0.17
angry_07.jpg,0,0,-0.875,-0.459,0.604,0.5,-0.761,-0.63,0.436,0.276,0.5,-25,0.1,-0.1,-0.0744,-0.15,0.0427,0.0197
angry_08.jpg,0.687,0.909,-0.47,0.909,0.65,0.5,0.362,-0.795,0.157,-0.088,0.5,-12,0.1,-0.0698,0.006,-0.0248,-0.1581,0.1
angry_09.jpg,0,0,0,0,0.581,0.595,0,0,0.459,0.202,0.5,-35,0.1,-0.0778,0,-0.0171,-0.1,0.1
angry_010.jpg,0,0,-0.504,-0.687,0.587,0.5,0,0,0.299,0.288,0.5,-11.5,0.1,-0.1,0.1,-0.15,-0.0701,0.2
sad_01.jpg,0,0,-0.544,0,0.738,0.558,-0.305,-0.658,-0.088,-0.225,0.5,20,0.1,-0.0561,0,-0.23,-0.1402,-0.1299
